DracoX  259.808203826 57.938868534 PA=0.0
    611170 17:17:31.470 57:54:009.30 2000.0 21.670   I    1 2
    654366 17:17:31.530 57:57:025.40 2000.0 23.764   I    1 2
    568485 17:17:31.550 57:50:000.40 2000.0 24.025   I    1 2
    667009 17:17:31.570 57:58:022.90 2000.0 23.843   I    1 2
    616836 17:17:31.580 57:54:039.20 2000.0 22.517   I    1 2
    677698 17:17:31.650 57:59:011.90 2000.0 23.706   I    1 2
    730565 17:17:31.650 58:04:039.80 2000.0 24.298   I    1 2
    717033 17:17:31.700 58:03:004.70 2000.0 22.055   I    1 2
    618358 17:17:31.710 57:54:046.70 2000.0 21.525   I    1 2
    561876 17:17:31.730 57:49:019.40 2000.0 23.735   I    1 2
    621732 17:17:31.750 57:55:002.20 2000.0 16.413   I   -2 2
    595017 17:17:31.920 57:52:036.80 2000.0 23.709   I    1 2
    652902 17:17:31.930 57:57:018.70 2000.0 22.916   I    1 2
    587573 17:17:31.960 57:51:053.30 2000.0 23.573   I    1 2
    728744 17:17:31.980 58:04:026.30 2000.0 23.495   I    1 2
    606554 17:17:32.050 57:53:043.70 2000.0 20.551   I    1 2
    673984 17:17:32.060 57:58:054.90 2000.0 20.026   I    1 2
    639679 17:17:32.130 57:56:021.60 2000.0 24.191   I    1 2
    605748 17:17:32.170 57:53:038.90 2000.0 20.685   I    1 2
    726244 17:17:32.320 58:04:008.20 2000.0 23.482   I    1 2
    731802 17:17:32.340 58:04:048.90 2000.0 22.319   I    1 2
    648669 17:17:32.370 57:57:000.50 2000.0 15.608   I   -2 2
    722463 17:17:32.410 58:03:042.10 2000.0 23.967   I    1 2
    732510 17:17:32.520 58:04:053.80 2000.0 23.261   I    1 2
    607417 17:17:32.530 57:53:048.50 2000.0 21.166   I    1 2
    577274 17:17:32.600 57:50:053.90 2000.0 22.395   I    1 2
    582263 17:17:32.640 57:51:022.70 2000.0 20.981   I    1 2
    584048 17:17:32.680 57:51:032.70 2000.0 20.185   I    1 2
    694770 17:17:32.700 58:00:039.40 2000.0 21.087   I    1 2
    574140 17:17:32.760 57:50:034.30 2000.0 21.694   I    1 2
    722218 17:17:32.790 58:03:040.50 2000.0 22.321   I    1 2
    672732 17:17:32.840 57:58:049.60 2000.0 20.117   I    1 2
    569069 17:17:32.890 57:50:003.70 2000.0 24.092   I    1 2
    693751 17:17:32.920 58:00:033.50 2000.0 21.690   I    1 2
    663538 17:17:32.980 57:58:006.70 2000.0 20.102   I    1 2
    732080 17:17:32.980 58:04:050.70 2000.0 20.152   I    1 2
    620603 17:17:33.010 57:54:057.10 2000.0 24.338   I    1 2
    715751 17:17:33.010 58:02:055.40 2000.0 18.827   I    1 2
    669105 17:17:33.070 57:58:033.00 2000.0 19.274   I    1 2
    713128 17:17:33.090 58:02:036.60 2000.0 24.488   I    1 2
    580439 17:17:33.150 57:51:012.10 2000.0 24.137   I    1 2
    601114 17:17:33.150 57:53:011.80 2000.0 23.740   I    1 2
    721605 17:17:33.160 58:03:036.50 2000.0 23.356   I    1 2
    705141 17:17:33.270 58:01:042.30 2000.0 23.853   I    1 2
    540449 17:17:33.300 57:47:003.40 2000.0 23.971   I    1 2
    535540 17:17:33.330 57:46:027.80 2000.0 17.581   I  483 1
    704115 17:17:33.340 58:01:035.80 2000.0 24.295   I    1 2
    587411 17:17:33.530 57:51:052.40 2000.0 22.095   I    1 2
    711053 17:17:33.540 58:02:023.10 2000.0 18.725   I  482 1
    700859 17:17:33.550 58:01:016.00 2000.0 24.350   I    1 2
    649645 17:17:33.660 57:57:004.80 2000.0 23.376   I    1 2
    725269 17:17:33.670 58:04:001.10 2000.0 22.015   I    1 2
    718327 17:17:33.730 58:03:013.50 2000.0 23.910   I    1 2
    570944 17:17:33.760 57:50:015.00 2000.0 20.704   I    1 2
    705414 17:17:33.780 58:01:044.10 2000.0 24.055   I    1 2
    730730 17:17:33.800 58:04:041.20 2000.0 23.405   I    1 2
    562842 17:17:33.820 57:49:025.50 2000.0 16.956   I   -2 2
    613929 17:17:33.880 57:54:023.90 2000.0 20.534   I    1 2
    586203 17:17:33.910 57:51:045.10 2000.0 23.879   I    1 2
    655799 17:17:33.990 57:57:031.80 2000.0 24.170   I    1 2
    555196 17:17:34.010 57:48:038.00 2000.0 23.595   I    1 2
    573259 17:17:34.040 57:50:029.10 2000.0 17.897   I  483 1
    588104 17:17:34.070 57:51:056.50 2000.0 24.578   I    1 2
    720380 17:17:34.130 58:03:028.20 2000.0 23.224   I    1 2
    648769 17:17:34.150 57:57:000.90 2000.0 21.871   I    1 2
    588616 17:17:34.280 57:51:059.60 2000.0 24.676   I    1 2
    709162 17:17:34.300 58:02:009.80 2000.0 23.221   I    1 2
    706037 17:17:34.320 58:01:048.10 2000.0 20.865   I    1 2
    650007 17:17:34.410 57:57:006.50 2000.0 18.269   I   -2 2
    696495 17:17:34.440 58:00:050.40 2000.0 22.079   I    1 2
    599678 17:17:34.470 57:53:003.40 2000.0 20.296   I    1 2
    608351 17:17:34.470 57:53:053.90 2000.0 21.849   I    1 2
    566710 17:17:34.510 57:49:049.70 2000.0 23.967   I    1 2
    628137 17:17:34.520 57:55:031.50 2000.0 23.855   I    1 2
    703282 17:17:34.560 58:01:030.40 2000.0 23.172   I    1 2
    717988 17:17:34.590 58:03:011.10 2000.0 22.999   I    1 2
    708103 17:17:34.610 58:02:002.20 2000.0 22.681   I    1 2
    647157 17:17:34.670 57:56:053.90 2000.0 23.665   I    1 2
    610938 17:17:34.680 57:54:008.20 2000.0 20.391   I    1 2
    668496 17:17:34.700 57:58:029.90 2000.0 23.193   I    1 2
    706817 17:17:34.740 58:01:053.40 2000.0 22.784   I    1 2
    597576 17:17:34.850 57:52:050.70 2000.0 24.074   I    1 2
    678427 17:17:34.850 57:59:015.30 2000.0 21.942   I    1 2
    727605 17:17:34.880 58:04:018.10 2000.0 22.031   I    1 2
    674318 17:17:34.950 57:58:056.30 2000.0 17.450   I  483 1
    730185 17:17:34.970 58:04:036.90 2000.0 22.745   I    1 2
    561951 17:17:35.020 57:49:019.80 2000.0 22.767   I    1 2
    561094 17:17:35.030 57:49:014.40 2000.0 18.761   I  482 1
    715285 17:17:35.080 58:02:052.10 2000.0 18.955   I    1 2
    592758 17:17:35.090 57:52:024.00 2000.0 16.438   I  484 1
    566000 17:17:35.110 57:49:045.20 2000.0 23.217   I    1 2
    640716 17:17:35.120 57:56:025.90 2000.0 19.934   I    1 2
    704865 17:17:35.130 58:01:040.60 2000.0 23.965   I    1 2
    658940 17:17:35.140 57:57:045.90 2000.0 19.247   I    1 2
    647319 17:17:35.150 57:56:054.50 2000.0 23.761   I    1 2
    669251 17:17:35.200 57:58:033.60 2000.0 23.568   I    1 2
    588561 17:17:35.270 57:51:059.30 2000.0 24.261   I    1 2
    728362 17:17:35.310 58:04:023.40 2000.0 24.502   I    1 2
    708098 17:17:35.330 58:02:002.20 2000.0 23.931   I    1 2
    722527 17:17:35.440 58:03:042.50 2000.0 23.860   I    1 2
    602963 17:17:35.600 57:53:022.70 2000.0 24.220   I    1 2
    597421 17:17:35.630 57:52:049.90 2000.0 23.886   I    1 2
    649599 17:17:35.640 57:57:004.60 2000.0 20.764   I    1 2
    636620 17:17:35.690 57:56:008.90 2000.0 22.935   I    1 2
    677439 17:17:35.720 57:59:010.70 2000.0 24.055   I    1 2
    708468 17:17:35.800 58:02:004.70 2000.0 22.778   I    1 2
    655852 17:17:35.810 57:57:032.10 2000.0 20.037   I    1 2
    629368 17:17:35.820 57:55:037.10 2000.0 21.894   I    1 2
    734408 17:17:35.830 58:05:006.60 2000.0 24.177   I    1 2
    696520 17:17:35.880 58:00:050.60 2000.0 20.471   I    1 2
    732808 17:17:35.910 58:04:055.70 2000.0 16.500   I  484 1
    652536 17:17:35.930 57:57:017.10 2000.0 22.529   I    1 2
    730914 17:17:35.930 58:04:042.50 2000.0 23.823   I    1 2
    654016 17:17:35.950 57:57:023.70 2000.0 21.144   I    1 2
    725479 17:17:35.950 58:04:002.60 2000.0 21.719   I    1 2
    588125 17:17:36.010 57:51:056.60 2000.0 20.853   I    1 2
    698829 17:17:36.030 58:01:004.40 2000.0 18.839   I    1 2
    703885 17:17:36.030 58:01:034.10 2000.0 23.494   I    1 2
    537381 17:17:36.130 57:46:042.60 2000.0 23.565   I    1 2
    570865 17:17:36.140 57:50:014.50 2000.0 24.116   I    1 2
    573069 17:17:36.160 57:50:027.80 2000.0 22.108   I    1 2
    671386 17:17:36.160 57:58:043.70 2000.0 21.503   I    1 2
    693824 17:17:36.280 58:00:033.90 2000.0 24.515   I    1 2
    639206 17:17:36.300 57:56:019.60 2000.0 21.932   I    1 2
    634974 17:17:36.320 57:56:001.80 2000.0 22.597   I    1 2
    691865 17:17:36.320 58:00:022.10 2000.0 22.699   I    1 2
    530893 17:17:36.330 57:45:014.00 2000.0 23.701   I    1 2
    691594 17:17:36.410 58:00:020.60 2000.0 22.699   I    1 2
    698701 17:17:36.530 58:01:003.70 2000.0 24.216   I    1 2
    698139 17:17:36.590 58:01:000.30 2000.0 22.978   I    1 2
    686791 17:17:36.660 57:59:055.60 2000.0 22.855   I    1 2
    653983 17:17:36.690 57:57:023.60 2000.0 24.185   I    1 2
    706362 17:17:36.710 58:01:050.50 2000.0 24.653   I    1 2
    673756 17:17:36.720 57:58:053.90 2000.0 17.714   I  483 1
    693353 17:17:36.720 58:00:030.90 2000.0 23.149   I    1 2
    583910 17:17:36.760 57:51:031.90 2000.0 24.290   I    1 2
    577002 17:17:36.890 57:50:052.10 2000.0 17.755   I  483 1
    610466 17:17:36.890 57:54:005.80 2000.0 23.858   I    1 2
    540119 17:17:36.900 57:47:001.30 2000.0 23.579   I    1 2
    691822 17:17:36.900 58:00:021.90 2000.0 24.390   I    1 2
    648973 17:17:37.000 57:57:001.80 2000.0 22.841   I    1 2
    694528 17:17:37.020 58:00:038.00 2000.0 22.566   I    1 2
    638027 17:17:37.090 57:56:014.70 2000.0 20.040   I    1 2
    634740 17:17:37.100 57:56:000.70 2000.0 20.466   I    1 2
    695552 17:17:37.170 58:00:044.40 2000.0 21.325   I    1 2
    705770 17:17:37.250 58:01:046.40 2000.0 22.887   I    1 2
    661114 17:17:37.320 57:57:055.80 2000.0 24.178   I    1 2
    695083 17:17:37.330 58:00:041.40 2000.0 22.877   I    1 2
    684861 17:17:37.340 57:59:046.00 2000.0 24.045   I    1 2
    569232 17:17:37.350 57:50:004.70 2000.0 23.654   I    1 2
    604484 17:17:37.350 57:53:031.80 2000.0 23.799   I    1 2
    720423 17:17:37.360 58:03:028.50 2000.0 18.355   I  482 1
    691421 17:17:37.380 58:00:019.60 2000.0 24.401   I    1 2
    546567 17:17:37.400 57:47:043.70 2000.0 23.897   I    1 2
    697630 17:17:37.440 58:00:057.10 2000.0 18.747   I    1 2
    660290 17:17:37.520 57:57:051.90 2000.0 23.497   I    1 2
    708194 17:17:37.580 58:02:002.70 2000.0 23.979   I    1 2
    608724 17:17:37.630 57:53:055.80 2000.0 23.796   I    1 2
    556986 17:17:37.650 57:48:049.50 2000.0 23.876   I    1 2
    715496 17:17:37.690 58:02:053.70 2000.0 22.537   I    1 2
    661226 17:17:37.780 57:57:056.30 2000.0 21.958   I    1 2
    731081 17:17:37.900 58:04:043.70 2000.0 24.029   I    1 2
    699472 17:17:37.930 58:01:008.00 2000.0 22.872   I    1 2
    599989 17:17:37.950 57:53:005.20 2000.0 23.413   I    1 2
    712733 17:17:37.960 58:02:034.00 2000.0 22.738   I    1 2
    561574 17:17:37.990 57:49:017.60 2000.0 24.003   I    1 2
    559346 17:17:38.020 57:49:003.20 2000.0 23.426   I    1 2
    722488 17:17:38.150 58:03:042.20 2000.0 22.280   I    1 2
    634814 17:17:38.180 57:56:001.10 2000.0 22.395   I    1 2
    558921 17:17:38.190 57:49:000.50 2000.0 22.623   I    1 2
    617345 17:17:38.190 57:54:041.80 2000.0 17.072   I  483 1
    594298 17:17:38.270 57:52:033.00 2000.0 23.933   I    1 2
    643289 17:17:38.290 57:56:037.20 2000.0 23.224   I    1 2
    684969 17:17:38.370 57:59:046.60 2000.0 24.349   I    1 2
    600771 17:17:38.390 57:53:009.80 2000.0 18.256   I   -2 2
    538378 17:17:38.430 57:46:049.90 2000.0 19.330   I    1 2
    661023 17:17:38.430 57:57:055.40 2000.0 22.572   I    1 2
    706549 17:17:38.530 58:01:051.60 2000.0 23.927   I    1 2
    730465 17:17:38.580 58:04:039.00 2000.0 16.291   I   -2 2
    673910 17:17:38.600 57:58:054.60 2000.0 17.626   I  483 1
    597102 17:17:38.660 57:52:047.90 2000.0 23.568   I    1 2
    606356 17:17:38.730 57:53:042.50 2000.0 24.122   I    1 2
